taxlevel	avgdistance	level
1	0.0524	class
1	0.0189	class
1	0.0701	class
1	0.0744	class
1	0.0414	class
1	0.059	class
1	0.2087	class
1	0.0714	class
1	0.0809	class
1	0.0185	class
1	0.1198	class
1	0.2924	class
1	0.0986	class
2	0.0314	order
2	0.0095	order
2	0.0401	order
2	0.0496	order
2	0.0217	order
2	0.0341	order
2	0.127	order
2	0.0225	order
2	0.0399	order
2	0.0132	order
2	0.0674	order
2	0.1965	order
2	0.0583	order
3	0.01871	family
3	0.00651	family
3	0.03533	family
3	0.03793	family
3	0.016	family
3	0.02356	family
3	0.09056	family
3	0.01009	family
3	0.02885	family
3	0.0103	family
3	0.04647	family
3	0.12922	family
3	0.04117	family
4	0.00267	genus
4	0.00100	genus
4	0.02051	genus
4	0.01219	genus
4	0.00370	genus
4	0.00844	genus
4	0.02779	genus
4	0.00000	genus
4	0.00939	genus
4	0.00539	genus
4	0.01761	genus
4	0.02289	genus
4	0.01250	genus